"","id","round","lambda","beta","tau","mu","x1","x2","choices"
"choice",1,1,0.528503044672503,0.354028753355421,0.201121478940542,15.387755521215,0,6,7
"ind",1,1,0.528503044672503,0.354028753355421,0.201121478940542,7.6451090570006,4,6,39
"ind.1",1,1,0.528503044672503,0.354028753355421,0.201121478940542,0,2,7,24
"ind.2",1,1,0.528503044672503,0.354028753355421,0.201121478940542,19.5244886412419,5,7,48
"ind.3",1,1,0.528503044672503,0.354028753355421,0.201121478940542,25.9002276575107,6,6,55
"ind.4",1,1,0.528503044672503,0.354028753355421,0.201121478940542,25.0360664883074,4,2,35
"ind.5",1,1,0.528503044672503,0.354028753355421,0.201121478940542,28.7460706393499,6,7,56
"ind.6",1,1,0.528503044672503,0.354028753355421,0.201121478940542,36.4774890427454,7,0,57
"ind.7",1,1,0.528503044672503,0.354028753355421,0.201121478940542,23.4811289471851,5,3,44
"ind.8",1,1,0.528503044672503,0.354028753355421,0.201121478940542,11.747293604166,3,4,29
"ind.9",1,1,0.528503044672503,0.354028753355421,0.201121478940542,40.9231081611518,1,1,10
"ind.10",1,1,0.528503044672503,0.354028753355421,0.201121478940542,40.9231081611518,1,1,10
"ind.11",1,1,0.528503044672503,0.354028753355421,0.201121478940542,49.1569968508173,0,1,2
"ind.12",1,1,0.528503044672503,0.354028753355421,0.201121478940542,2.1541909033334,1,7,16
"ind.13",1,1,0.528503044672503,0.354028753355421,0.201121478940542,28.4930132149607,3,0,25
"ind.14",1,1,0.528503044672503,0.354028753355421,0.201121478940542,7.68698843162852,2,5,22
"ind.15",1,1,0.528503044672503,0.354028753355421,0.201121478940542,37.1606815364172,1,0,9
"ind.16",1,1,0.528503044672503,0.354028753355421,0.201121478940542,33.0652085113896,6,0,49
"ind.17",1,1,0.528503044672503,0.354028753355421,0.201121478940542,5.36329844549723,3,5,30
"ind.18",1,1,0.528503044672503,0.354028753355421,0.201121478940542,25.9660408427018,3,2,27
"ind.19",1,1,0.528503044672503,0.354028753355421,0.201121478940542,29.7799782729217,5,0,41
"ind.20",1,1,0.528503044672503,0.354028753355421,0.201121478940542,28.4930132149607,3,0,25
"ind.21",1,1,0.528503044672503,0.354028753355421,0.201121478940542,13.0263998083899,4,4,37
"ind.22",1,1,0.528503044672503,0.354028753355421,0.201121478940542,29.7799782729217,5,0,41
"ind.23",1,1,0.528503044672503,0.354028753355421,0.201121478940542,19.5098637329097,3,3,28
"ind.24",1,1,0.528503044672503,0.354028753355421,0.201121478940542,33.7623159808245,2,1,18
"choice1",1,2,0.528503044672503,0.354028753355421,0.201121478940542,21.7315797174619,2,4,21
