"","id","round","lambda","beta","tau","mu","x1","x2","choices"
"choice",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,5.78321794786599,5,2,43
"ind",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,37.1166929642353,6,6,55
"ind.1",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,29.8009671604722,7,5,62
"ind.2",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,39.5564455105259,5,7,48
"ind.3",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,7,64
"ind.4",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,45.4877398794661,6,7,56
"ind.5",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,7,64
"ind.6",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,20.4290008869,2,7,24
"ind.7",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,20.7420364266852,0,6,7
"ind.8",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,7,64
"ind.9",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,7,64
"ind.10",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,7,64
"ind.11",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,7,64
"ind.12",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,7,64
"ind.13",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,22.8306088829645,3,4,29
"ind.14",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,7,64
"ind.15",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,14.5389936872559,1,1,10
"ind.16",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,7,64
"ind.17",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,7,64
"ind.18",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,7,64
"ind.19",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,7,64
"ind.20",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,40.2716668203323,7,6,63
"ind.21",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,7,64
"ind.22",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,7,64
"ind.23",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,7,64
"ind.24",1,1,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,7,64
"choice1",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,25.798592723205,4,2,35
"ind1",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,14.1819847140779,0,4,5
"ind.110",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,8.20675129765373,3,5,30
"ind.25",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,26.9259528332989,0,0,1
"ind.31",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,33.8574349107313,3,0,25
"ind.41",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,41.1721346326861,7,4,61
"ind.51",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,29.3634294561407,6,5,54
"ind.61",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,42.7965444419795,7,3,60
"ind.71",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,32.0362006799796,6,4,53
"ind.81",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,0,57
"ind.91",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,47.3191255406178,7,1,58
"ind.101",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,45.8728089983923,6,0,49
"ind.111",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,41.5574291987611,6,1,50
"ind.121",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,0,57
"ind.131",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,44.784105982957,7,2,59
"ind.141",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,0,57
"ind.151",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,0,57
"ind.161",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,0,57
"ind.171",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,0,57
"ind.181",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,26.2764565843454,2,1,18
"ind.191",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,36.7969602962741,7,6,63
"ind.201",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,37.7328854879052,6,2,51
"ind.211",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,0,57
"ind.221",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,0,57
"ind.231",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,0,57
"ind.241",1,2,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,0,57
"choice2",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,49.2035387251504,6,6,55
"ind2",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,46.1994957937455,6,4,53
"ind.112",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,48.2569832158053,7,5,62
"ind.26",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,47.2440654899596,5,5,46
"ind.32",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,50,6,5,54
"ind.42",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,46.9075097973385,7,6,63
"ind.52",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,34.1277736237739,4,4,37
"ind.62",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,47.4932352022551,5,6,47
"ind.72",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,41.9791382053083,7,7,64
"ind.82",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,45.4535019530727,7,4,61
"ind.92",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,47.2440654899596,5,5,46
"ind.102",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,32.2135399936073,3,6,31
"ind.113",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,1.71404518583841,1,3,12
"ind.122",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,43.188738677527,5,7,48
"ind.132",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,9.22043874330516,6,0,49
"ind.142",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,50,6,5,54
"ind.152",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,50,6,5,54
"ind.162",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,49.2035387251504,6,6,55
"ind.172",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,45.4535019530727,7,4,61
"ind.182",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,49.2035387251504,6,6,55
"ind.192",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,48.2569832158053,7,5,62
"ind.202",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,47.4932352022551,5,6,47
"ind.212",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,39.7731992162812,4,5,38
"ind.222",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,49.2035387251504,6,6,55
"ind.232",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,49.2035387251504,6,6,55
"ind.242",1,3,1.26666985827653,0.440854499476078,0.0209011995508387,46.1994957937455,6,4,53
"choice3",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,19.29704032214,4,3,36
"ind3",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,25.9002276575107,6,6,55
"ind.114",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,37.4952570443068,7,2,59
"ind.27",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,6.92726984713671,1,6,15
"ind.33",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,32.4865609995388,7,4,61
"ind.43",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,49.1569968508173,0,1,2
"ind.53",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,50,0,2,3
"ind.63",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,40.0278018714996,1,2,11
"ind.73",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,43.6292024963597,0,0,1
"ind.83",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,37.1606815364172,1,0,9
"ind.93",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,45.5111073249203,0,3,4
"ind.103",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,36.4774890427454,7,0,57
"ind.115",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,29.7799782729217,5,0,41
"ind.123",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,29.639631797997,6,3,52
"ind.133",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,50,0,2,3
"ind.143",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,49.1569968508173,0,1,2
"ind.153",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,50,0,2,3
"ind.163",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,49.1569968508173,0,1,2
"ind.173",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,50,0,2,3
"ind.183",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,49.1569968508173,0,1,2
"ind.193",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,50,0,2,3
"ind.203",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,50,0,2,3
"ind.213",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,50,0,2,3
"ind.223",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,49.1569968508173,0,1,2
"ind.233",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,50,0,2,3
"ind.243",1,4,1.26666985827653,0.440854499476078,0.0209011995508387,49.1569968508173,0,1,2
"choice4",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,26.1464471723826,3,5,30
"ind4",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,13.669250039457,1,0,9
"ind.116",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,21.3697502703674,0,4,5
"ind.28",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,42.0980515440305,4,7,40
"ind.34",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,45.7638564929744,3,7,32
"ind.44",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,50,1,7,16
"ind.54",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,49.003950485684,2,7,24
"ind.64",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,44.3397826702116,1,6,15
"ind.74",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,49.003950485684,2,7,24
"ind.84",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,47.2563988422665,0,7,8
"ind.94",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,41.921395277893,2,6,23
"ind.104",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,32.8746140099347,5,6,47
"ind.117",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,43.4502183475785,0,6,7
"ind.124",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,38.5086845735926,7,7,64
"ind.134",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,49.003950485684,2,7,24
"ind.144",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,50,1,7,16
"ind.154",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,50,1,7,16
"ind.164",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,30.0136484920129,7,5,62
"ind.174",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,3.94343849491592,5,2,43
"ind.184",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,50,1,7,16
"ind.194",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,50,1,7,16
"ind.204",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,38.5765550259414,6,7,56
"ind.214",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,50,1,7,16
"ind.224",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,49.003950485684,2,7,24
"ind.234",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,50,1,7,16
"ind.244",1,5,1.26666985827653,0.440854499476078,0.0209011995508387,50,1,7,16
"choice5",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,0,0,5,6
"ind5",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,34.2451957053524,4,5,38
"ind.118",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,16.4852461228681,3,4,29
"ind.29",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,45.8292011263737,6,4,53
"ind.35",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,46.9597103193999,7,3,60
"ind.45",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,40.5692207728325,6,3,52
"ind.55",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,49.7930773230265,7,4,61
"ind.65",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,47.3410187229486,5,6,47
"ind.75",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,48.4493513163389,5,7,48
"ind.85",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,49.7511144931144,6,6,55
"ind.95",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,48.1073463764441,6,7,56
"ind.105",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,5,62
"ind.119",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,47.4930029181788,7,6,63
"ind.125",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,49.1779503052977,6,5,54
"ind.135",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,44.0763721306625,5,5,46
"ind.145",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,42.8728841186241,4,7,40
"ind.155",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,30.5448826573106,6,1,50
"ind.165",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,12.389260800802,3,1,26
"ind.175",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,49.1779503052977,6,5,54
"ind.185",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,48.1073463764441,6,7,56
"ind.195",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,48.4493513163389,5,7,48
"ind.205",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,5,62
"ind.215",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,5,62
"ind.225",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,49.7930773230265,7,4,61
"ind.235",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,47.4930029181788,7,6,63
"ind.245",1,6,1.26666985827653,0.440854499476078,0.0209011995508387,43.3057954679819,7,7,64
"choice6",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,47.4941888871708,1,2,11
"ind6",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,43.3015388126336,2,3,20
"ind.120",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,46.7934321304944,1,3,12
"ind.210",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,20.8051951879338,4,5,38
"ind.36",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,47.3738009249656,0,2,3
"ind.46",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,45.3467815833854,0,1,2
"ind.56",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,44.8053502093108,1,0,9
"ind.66",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,47.0249921610359,2,1,18
"ind.76",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,43.6550909996969,4,1,34
"ind.86",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,46.3550974328041,3,0,25
"ind.96",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,46.8935286091611,1,1,10
"ind.106",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,46.2715639498618,2,0,17
"ind.1110",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,44.955392749332,1,4,13
"ind.126",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,39.2394170960966,1,6,15
"ind.136",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,47.1765532247976,0,5,6
"ind.146",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,48.2749160728738,0,4,5
"ind.156",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,45.6760878310041,3,1,26
"ind.166",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,43.0820956165126,6,1,50
"ind.176",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,45.1889226675981,5,0,41
"ind.186",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,46.0083401049434,7,1,58
"ind.196",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,0,57
"ind.206",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,46.5714476535729,6,0,49
"ind.216",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,48.3790459936691,0,3,4
"ind.226",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,42.2399700570978,0,7,8
"ind.236",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,45.1849893856762,0,6,7
"ind.246",1,7,1.26666985827653,0.440854499476078,0.0209011995508387,45.8874408136015,2,2,19
"choice7",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,33.8781237824221,3,0,25
"ind7",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,17.2925169442801,4,6,39
"ind.127",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,30.5956571443012,3,1,26
"ind.217",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,2,59
"ind.37",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,43.9378711256364,6,2,51
"ind.47",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,45.3753586329204,7,1,58
"ind.57",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,49.6050726604285,7,3,60
"ind.67",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,43.4932194186371,7,4,61
"ind.77",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,43.5238453297915,6,3,52
"ind.87",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,35.3252708910228,6,0,49
"ind.97",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,2,59
"ind.107",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,2,59
"ind.1111",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,49.6050726604285,7,3,60
"ind.128",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,15.8641035476635,1,1,10
"ind.137",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,2,59
"ind.147",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,2,59
"ind.157",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,2,59
"ind.167",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,36.6124127545717,5,3,44
"ind.177",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,49.6050726604285,7,3,60
"ind.187",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,34.7783363483024,4,0,33
"ind.197",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,2,59
"ind.207",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,3.62176526425033,0,5,6
"ind.218",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,2,59
"ind.227",1,8,1.26666985827653,0.440854499476078,0.0209011995508387,50,7,2,59
