"","id","round","lambda","beta","tau","mu","x1","x2","choices"
"choice",1,1,0.220511656137576,0.440854499476078,0.101969967582783,30.1644773703656,0,2,3
"ind",1,1,0.220511656137576,0.440854499476078,0.101969967582783,46.8216730271491,0,7,8
"ind.1",1,1,0.220511656137576,0.440854499476078,0.101969967582783,17.5235854085094,0,1,2
"ind.2",1,1,0.220511656137576,0.440854499476078,0.101969967582783,47.809882745726,0,5,6
"ind.3",1,1,0.220511656137576,0.440854499476078,0.101969967582783,24.5416652050927,7,3,60
"ind.4",1,1,0.220511656137576,0.440854499476078,0.101969967582783,31.5810058338995,7,5,62
"ind.5",1,1,0.220511656137576,0.440854499476078,0.101969967582783,11.8433758853087,6,1,50
"ind.6",1,1,0.220511656137576,0.440854499476078,0.101969967582783,46.6845625649492,1,7,16
"ind.7",1,1,0.220511656137576,0.440854499476078,0.101969967582783,35.9957722217355,3,7,32
"ind.8",1,1,0.220511656137576,0.440854499476078,0.101969967582783,22.4253312169141,2,1,18
"ind.9",1,1,0.220511656137576,0.440854499476078,0.101969967582783,20.2745672606639,1,1,10
"ind.10",1,1,0.220511656137576,0.440854499476078,0.101969967582783,37.3979616707358,5,5,46
"ind.11",1,1,0.220511656137576,0.440854499476078,0.101969967582783,29.4743129063916,6,3,52
"ind.12",1,1,0.220511656137576,0.440854499476078,0.101969967582783,39.1009654290717,5,4,45
"ind.13",1,1,0.220511656137576,0.440854499476078,0.101969967582783,46.6845625649492,1,7,16
"ind.14",1,1,0.220511656137576,0.440854499476078,0.101969967582783,44.6322861635281,2,3,20
"ind.15",1,1,0.220511656137576,0.440854499476078,0.101969967582783,48.5927279548886,1,6,15
"ind.16",1,1,0.220511656137576,0.440854499476078,0.101969967582783,30.2838644849471,4,7,40
"ind.17",1,1,0.220511656137576,0.440854499476078,0.101969967582783,44.6322861635281,2,3,20
"ind.18",1,1,0.220511656137576,0.440854499476078,0.101969967582783,35.739066591054,5,3,44
"ind.19",1,1,0.220511656137576,0.440854499476078,0.101969967582783,11.6749169805703,3,0,25
"ind.20",1,1,0.220511656137576,0.440854499476078,0.101969967582783,33.3405008505064,6,5,54
"ind.21",1,1,0.220511656137576,0.440854499476078,0.101969967582783,26.7565169311434,5,7,48
