"","id","round","lambda","beta","tau","mu","x1","x2","choices"
"choice",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,7.62991585258268,1,4,13
"ind",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,38.3459438428696,0,1,2
"ind.1",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
"ind.2",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
"ind.3",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
"ind.4",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
"ind.5",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
"ind.6",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
"ind.7",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
"ind.8",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
"ind.9",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
"ind.10",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
"ind.11",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
"ind.12",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
"ind.13",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
"ind.14",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
"ind.15",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
"ind.16",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
"ind.17",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,25.697232868182,0,2,3
"ind.18",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
"ind.19",1,1,0.220511656137576,0.284303230093707,0.0209011995508387,48.1128297768248,1,0,9
