"","id","round","lambda","beta","tau","mu","x1","x2","choices"
"choice",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,33.2968360351734,1,3,12
"ind",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,25.0764657656804,3,1,26
"ind.1",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,15.4270977280459,5,6,47
"ind.2",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,19.1834036370975,4,0,33
"ind.3",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,33.4501826054838,2,6,23
"ind.4",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,34.7209029624552,1,0,9
"ind.5",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,20.8558291012461,4,4,37
"ind.6",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,40.7686542440137,0,5,6
"ind.7",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,40.7686542440137,0,5,6
"ind.8",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,40.7686542440137,0,5,6
"ind.9",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,40.7686542440137,0,5,6
"ind.10",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,40.7686542440137,0,5,6
"ind.11",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,40.7686542440137,0,5,6
"ind.12",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,40.7686542440137,0,5,6
"ind.13",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,40.7686542440137,0,5,6
"ind.14",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,40.7686542440137,0,5,6
"ind.15",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,40.7686542440137,0,5,6
"ind.16",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,40.7686542440137,0,5,6
"ind.17",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,40.7686542440137,0,5,6
"ind.18",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,40.7686542440137,0,5,6
"ind.19",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,40.7686542440137,0,5,6
"ind.20",1,1,0.528503044672503,0.0949506811440196,0.0262119865151663,40.7686542440137,0,5,6
