"","id","round","lambda","beta","tau","mu","x1","x2","choices"
"choice",1,1,0.528503044672503,0.14723517209728,0.201121478940542,26.3536881352575,3,4,29
"ind",1,1,0.528503044672503,0.14723517209728,0.201121478940542,31.5922692674626,7,3,60
"ind.1",1,1,0.528503044672503,0.14723517209728,0.201121478940542,41.7403248813324,2,6,23
"ind.2",1,1,0.528503044672503,0.14723517209728,0.201121478940542,17.4246856945348,5,3,44
"ind.3",1,1,0.528503044672503,0.14723517209728,0.201121478940542,50,3,7,32
"ind.4",1,1,0.528503044672503,0.14723517209728,0.201121478940542,28.9752646234838,2,4,21
"ind.5",1,1,0.528503044672503,0.14723517209728,0.201121478940542,4.53044736438887,6,0,49
"ind.6",1,1,0.528503044672503,0.14723517209728,0.201121478940542,41.067619740212,7,5,62
"ind.7",1,1,0.528503044672503,0.14723517209728,0.201121478940542,25.1413505552317,7,2,59
"ind.8",1,1,0.528503044672503,0.14723517209728,0.201121478940542,31.5922692674626,7,3,60
"ind.9",1,1,0.528503044672503,0.14723517209728,0.201121478940542,34.2583032729412,3,5,30
"ind.10",1,1,0.528503044672503,0.14723517209728,0.201121478940542,28.1338744313276,0,0,1
"ind.11",1,1,0.528503044672503,0.14723517209728,0.201121478940542,17.4246856945348,5,3,44
"ind.12",1,1,0.528503044672503,0.14723517209728,0.201121478940542,35.3221684213681,1,5,14
"ind.13",1,1,0.528503044672503,0.14723517209728,0.201121478940542,3.87996744514912,4,1,34
"ind.14",1,1,0.528503044672503,0.14723517209728,0.201121478940542,33.8476345942845,0,3,4
"ind.15",1,1,0.528503044672503,0.14723517209728,0.201121478940542,47.941920330433,5,7,48
"ind.16",1,1,0.528503044672503,0.14723517209728,0.201121478940542,49.6604002969904,4,7,40
"ind.17",1,1,0.528503044672503,0.14723517209728,0.201121478940542,8.43262998239097,3,1,26
"ind.18",1,1,0.528503044672503,0.14723517209728,0.201121478940542,26.3536881352575,3,4,29
"ind.19",1,1,0.528503044672503,0.14723517209728,0.201121478940542,31.6919420635779,1,4,13
"ind.20",1,1,0.528503044672503,0.14723517209728,0.201121478940542,24.9222400855955,4,4,37
"ind.21",1,1,0.528503044672503,0.14723517209728,0.201121478940542,28.9752646234838,2,4,21
"ind.22",1,1,0.528503044672503,0.14723517209728,0.201121478940542,47.941920330433,5,7,48
"ind.23",1,1,0.528503044672503,0.14723517209728,0.201121478940542,49.6604002969904,4,7,40
"ind.24",1,1,0.528503044672503,0.14723517209728,0.201121478940542,37.1110147814765,7,4,61
"choice1",1,2,0.528503044672503,0.14723517209728,0.201121478940542,16.0759469429662,2,7,24
"ind1",1,2,0.528503044672503,0.14723517209728,0.201121478940542,47.9352653649171,1,2,11
"ind.110",1,2,0.528503044672503,0.14723517209728,0.201121478940542,42.6747639857304,0,3,4
"ind.25",1,2,0.528503044672503,0.14723517209728,0.201121478940542,35.6974682325242,5,1,42
"ind.31",1,2,0.528503044672503,0.14723517209728,0.201121478940542,17.0199507624845,1,7,16
"ind.41",1,2,0.528503044672503,0.14723517209728,0.201121478940542,34.5644531033688,5,3,44
"ind.51",1,2,0.528503044672503,0.14723517209728,0.201121478940542,26.8784591025996,6,2,51
"ind.61",1,2,0.528503044672503,0.14723517209728,0.201121478940542,0,7,7,64
"ind.71",1,2,0.528503044672503,0.14723517209728,0.201121478940542,34.5644531033688,5,3,44
"ind.81",1,2,0.528503044672503,0.14723517209728,0.201121478940542,21.8939630913537,3,6,31
"ind.91",1,2,0.528503044672503,0.14723517209728,0.201121478940542,5.03455114608634,7,5,62
"ind.101",1,2,0.528503044672503,0.14723517209728,0.201121478940542,37.4200549407803,0,4,5
"ind.111",1,2,0.528503044672503,0.14723517209728,0.201121478940542,47.9352653649171,1,2,11
"ind.121",1,2,0.528503044672503,0.14723517209728,0.201121478940542,31.4066841205407,5,0,41
"ind.131",1,2,0.528503044672503,0.14723517209728,0.201121478940542,46.4186719294158,3,3,28
"ind.141",1,2,0.528503044672503,0.14723517209728,0.201121478940542,12.4204597722076,4,7,40
"ind.151",1,2,0.528503044672503,0.14723517209728,0.201121478940542,30.0760311429099,0,5,6
"ind.161",1,2,0.528503044672503,0.14723517209728,0.201121478940542,39.7418751851187,3,4,29
"ind.171",1,2,0.528503044672503,0.14723517209728,0.201121478940542,44.7997425484166,4,2,35
"ind.181",1,2,0.528503044672503,0.14723517209728,0.201121478940542,45.973184400974,1,3,12
"ind.191",1,2,0.528503044672503,0.14723517209728,0.201121478940542,37.9406348251449,1,0,9
"ind.201",1,2,0.528503044672503,0.14723517209728,0.201121478940542,42.6747639857304,0,3,4
"ind.211",1,2,0.528503044672503,0.14723517209728,0.201121478940542,40.6937055057274,0,1,2
