"","id","round","lambda","beta","tau","mu","x1","x2","choices"
"choice",1,1,0.220511656137576,0.183344678885604,0.101969967582783,50,0,2,3
"ind",1,1,0.220511656137576,0.183344678885604,0.101969967582783,6.34482675877728,7,1,58
"ind.1",1,1,0.220511656137576,0.183344678885604,0.101969967582783,50,0,2,3
"ind.2",1,1,0.220511656137576,0.183344678885604,0.101969967582783,50,0,2,3
"ind.3",1,1,0.220511656137576,0.183344678885604,0.101969967582783,50,0,2,3
"ind.4",1,1,0.220511656137576,0.183344678885604,0.101969967582783,17.4049192241376,1,6,15
"ind.5",1,1,0.220511656137576,0.183344678885604,0.101969967582783,2.10875204328968,0,7,8
"ind.6",1,1,0.220511656137576,0.183344678885604,0.101969967582783,14.7324777461226,6,3,52
"ind.7",1,1,0.220511656137576,0.183344678885604,0.101969967582783,22.6968791772708,6,7,56
"ind.8",1,1,0.220511656137576,0.183344678885604,0.101969967582783,50,0,2,3
"ind.9",1,1,0.220511656137576,0.183344678885604,0.101969967582783,35.8639946139857,0,4,5
"ind.10",1,1,0.220511656137576,0.183344678885604,0.101969967582783,35.8639946139857,0,4,5
"ind.11",1,1,0.220511656137576,0.183344678885604,0.101969967582783,19.4783556751312,6,4,53
"ind.12",1,1,0.220511656137576,0.183344678885604,0.101969967582783,3.18035708529255,5,0,41
"ind.13",1,1,0.220511656137576,0.183344678885604,0.101969967582783,7.26214987891592,5,1,42
"ind.14",1,1,0.220511656137576,0.183344678885604,0.101969967582783,24.3800595161433,2,0,17
"ind.15",1,1,0.220511656137576,0.183344678885604,0.101969967582783,50,0,2,3
"ind.16",1,1,0.220511656137576,0.183344678885604,0.101969967582783,19.2090653778546,3,7,32
"ind.17",1,1,0.220511656137576,0.183344678885604,0.101969967582783,22.2434032537767,7,4,61
"ind.18",1,1,0.220511656137576,0.183344678885604,0.101969967582783,30.109246662391,2,4,21
"ind.19",1,1,0.220511656137576,0.183344678885604,0.101969967582783,50,0,2,3
"ind.20",1,1,0.220511656137576,0.183344678885604,0.101969967582783,34.7254963586273,0,0,1
"ind.21",1,1,0.220511656137576,0.183344678885604,0.101969967582783,50,0,2,3
"ind.22",1,1,0.220511656137576,0.183344678885604,0.101969967582783,22.7228829325716,6,5,54
"ind.23",1,1,0.220511656137576,0.183344678885604,0.101969967582783,50,0,2,3
"ind.24",1,1,0.220511656137576,0.183344678885604,0.101969967582783,25.0252056875181,3,2,27
"choice1",1,2,0.220511656137576,0.183344678885604,0.101969967582783,23.4915671356421,7,6,63
"ind1",1,2,0.220511656137576,0.183344678885604,0.101969967582783,27.4397896309525,7,1,58
"ind.110",1,2,0.220511656137576,0.183344678885604,0.101969967582783,13.8864134448597,6,3,52
"ind.25",1,2,0.220511656137576,0.183344678885604,0.101969967582783,10.8290925671641,4,3,36
"ind.31",1,2,0.220511656137576,0.183344678885604,0.101969967582783,38.3459438428696,0,1,2
"ind.41",1,2,0.220511656137576,0.183344678885604,0.101969967582783,37.6123267105665,1,1,10
"ind.51",1,2,0.220511656137576,0.183344678885604,0.101969967582783,19.3596495608604,6,7,56
"ind.61",1,2,0.220511656137576,0.183344678885604,0.101969967582783,15.8525997612445,7,4,61
"ind.71",1,2,0.220511656137576,0.183344678885604,0.101969967582783,50,0,0,1
"ind.81",1,2,0.220511656137576,0.183344678885604,0.101969967582783,29.996300668626,5,1,42
"ind.91",1,2,0.220511656137576,0.183344678885604,0.101969967582783,20.428591868853,5,2,43
"ind.101",1,2,0.220511656137576,0.183344678885604,0.101969967582783,38.3459438428696,0,1,2
"ind.111",1,2,0.220511656137576,0.183344678885604,0.101969967582783,15.1590650063955,0,3,4
"ind.121",1,2,0.220511656137576,0.183344678885604,0.101969967582783,21.9844755021215,3,2,27
"ind.131",1,2,0.220511656137576,0.183344678885604,0.101969967582783,20.7405508165091,4,2,35
"ind.141",1,2,0.220511656137576,0.183344678885604,0.101969967582783,0,3,5,30
"ind.151",1,2,0.220511656137576,0.183344678885604,0.101969967582783,6.71207926295713,5,6,47
"ind.161",1,2,0.220511656137576,0.183344678885604,0.101969967582783,50,0,0,1
"ind.171",1,2,0.220511656137576,0.183344678885604,0.101969967582783,16.2122881586333,7,3,60
"ind.181",1,2,0.220511656137576,0.183344678885604,0.101969967582783,45.1150291913872,2,0,17
"ind.191",1,2,0.220511656137576,0.183344678885604,0.101969967582783,12.7644424270212,2,3,20
"ind.201",1,2,0.220511656137576,0.183344678885604,0.101969967582783,31.2931450030411,4,1,34
"ind.211",1,2,0.220511656137576,0.183344678885604,0.101969967582783,9.57646512281934,0,4,5
"ind.221",1,2,0.220511656137576,0.183344678885604,0.101969967582783,35.467910519134,2,1,18
"ind.231",1,2,0.220511656137576,0.183344678885604,0.101969967582783,50,0,0,1
"ind.241",1,2,0.220511656137576,0.183344678885604,0.101969967582783,50,0,0,1
"choice2",1,3,0.220511656137576,0.183344678885604,0.101969967582783,47.2139045523194,2,1,18
"ind2",1,3,0.220511656137576,0.183344678885604,0.101969967582783,10.3060715109391,6,3,52
"ind.112",1,3,0.220511656137576,0.183344678885604,0.101969967582783,46.5129898738936,1,3,12
"ind.26",1,3,0.220511656137576,0.183344678885604,0.101969967582783,47.2139045523194,2,1,18
"ind.32",1,3,0.220511656137576,0.183344678885604,0.101969967582783,44.2059722478062,1,4,13
"ind.42",1,3,0.220511656137576,0.183344678885604,0.101969967582783,47.2139045523194,2,1,18
"ind.52",1,3,0.220511656137576,0.183344678885604,0.101969967582783,2.6136412504271,7,3,60
"ind.62",1,3,0.220511656137576,0.183344678885604,0.101969967582783,0,7,7,64
"ind.72",1,3,0.220511656137576,0.183344678885604,0.101969967582783,22.8374429587462,4,6,39
"ind.82",1,3,0.220511656137576,0.183344678885604,0.101969967582783,0.385192122786748,7,6,63
"ind.92",1,3,0.220511656137576,0.183344678885604,0.101969967582783,30.5660117929988,3,6,31
"ind.102",1,3,0.220511656137576,0.183344678885604,0.101969967582783,17.5326579756466,5,4,45
"ind.113",1,3,0.220511656137576,0.183344678885604,0.101969967582783,34.7936674377179,0,7,8
"ind.122",1,3,0.220511656137576,0.183344678885604,0.101969967582783,38.6898551993666,1,6,15
"ind.132",1,3,0.220511656137576,0.183344678885604,0.101969967582783,14.5620362308043,5,6,47
"ind.142",1,3,0.220511656137576,0.183344678885604,0.101969967582783,45.4436513741462,2,2,19
"ind.152",1,3,0.220511656137576,0.183344678885604,0.101969967582783,12.9475914014113,5,7,48
"ind.162",1,3,0.220511656137576,0.183344678885604,0.101969967582783,6.82051273439473,6,6,55
"ind.172",1,3,0.220511656137576,0.183344678885604,0.101969967582783,27.1710648104216,5,1,42
"ind.182",1,3,0.220511656137576,0.183344678885604,0.101969967582783,47.7192381340826,0,2,3
"ind.192",1,3,0.220511656137576,0.183344678885604,0.101969967582783,19.6869774970453,6,1,50
"ind.202",1,3,0.220511656137576,0.183344678885604,0.101969967582783,44.2059722478062,1,4,13
"ind.212",1,3,0.220511656137576,0.183344678885604,0.101969967582783,44.2059722478062,1,4,13
"ind.222",1,3,0.220511656137576,0.183344678885604,0.101969967582783,43.5316433612355,2,3,20
"ind.232",1,3,0.220511656137576,0.183344678885604,0.101969967582783,39.7983703885772,4,0,33
"ind.242",1,3,0.220511656137576,0.183344678885604,0.101969967582783,46.5129898738936,1,3,12
"choice3",1,4,0.220511656137576,0.183344678885604,0.101969967582783,27.502048919412,7,3,60
"ind3",1,4,0.220511656137576,0.183344678885604,0.101969967582783,29.9129059592618,2,4,21
"ind.114",1,4,0.220511656137576,0.183344678885604,0.101969967582783,33.4064365448463,3,3,28
"ind.27",1,4,0.220511656137576,0.183344678885604,0.101969967582783,13.5435459376039,7,0,57
"ind.33",1,4,0.220511656137576,0.183344678885604,0.101969967582783,36.1126062754475,2,5,22
"ind.43",1,4,0.220511656137576,0.183344678885604,0.101969967582783,32.1343161058577,4,2,35
"ind.53",1,4,0.220511656137576,0.183344678885604,0.101969967582783,31.994752835309,7,4,61
"ind.63",1,4,0.220511656137576,0.183344678885604,0.101969967582783,5.65577413837589,0,3,4
"ind.73",1,4,0.220511656137576,0.183344678885604,0.101969967582783,19.8533574362896,2,2,19
"ind.83",1,4,0.220511656137576,0.183344678885604,0.101969967582783,16.5120964872973,4,0,33
"ind.93",1,4,0.220511656137576,0.183344678885604,0.101969967582783,39.6005627495949,6,5,54
"ind.103",1,4,0.220511656137576,0.183344678885604,0.101969967582783,11.5296927625154,2,0,17
"ind.115",1,4,0.220511656137576,0.183344678885604,0.101969967582783,50,2,7,24
"ind.123",1,4,0.220511656137576,0.183344678885604,0.101969967582783,38.2665245662246,6,6,55
"ind.133",1,4,0.220511656137576,0.183344678885604,0.101969967582783,50,2,7,24
"ind.143",1,4,0.220511656137576,0.183344678885604,0.101969967582783,24.4832003387672,2,3,20
"ind.153",1,4,0.220511656137576,0.183344678885604,0.101969967582783,31.9056566778256,5,2,43
"ind.163",1,4,0.220511656137576,0.183344678885604,0.101969967582783,38.2665245662246,6,6,55
"ind.173",1,4,0.220511656137576,0.183344678885604,0.101969967582783,50,2,7,24
"ind.183",1,4,0.220511656137576,0.183344678885604,0.101969967582783,33.808341340721,0,6,7
"ind.193",1,4,0.220511656137576,0.183344678885604,0.101969967582783,50,2,7,24
"ind.203",1,4,0.220511656137576,0.183344678885604,0.101969967582783,33.9326061328442,7,6,63
"ind.213",1,4,0.220511656137576,0.183344678885604,0.101969967582783,43.0267787104019,4,4,37
"ind.223",1,4,0.220511656137576,0.183344678885604,0.101969967582783,32.1343161058577,4,2,35
"ind.233",1,4,0.220511656137576,0.183344678885604,0.101969967582783,38.2665245662246,6,6,55
"ind.243",1,4,0.220511656137576,0.183344678885604,0.101969967582783,43.0267787104019,4,4,37
"choice4",1,5,0.220511656137576,0.183344678885604,0.101969967582783,33.4647342474032,3,4,29
"ind4",1,5,0.220511656137576,0.183344678885604,0.101969967582783,47.3738009249656,0,2,3
"ind.116",1,5,0.220511656137576,0.183344678885604,0.101969967582783,45.6760878310041,3,1,26
"ind.28",1,5,0.220511656137576,0.183344678885604,0.101969967582783,3.38223448135337,5,7,48
"ind.34",1,5,0.220511656137576,0.183344678885604,0.101969967582783,32.8875037238421,7,3,60
"ind.44",1,5,0.220511656137576,0.183344678885604,0.101969967582783,50,7,0,57
"ind.54",1,5,0.220511656137576,0.183344678885604,0.101969967582783,31.5759040928273,2,6,23
"ind.64",1,5,0.220511656137576,0.183344678885604,0.101969967582783,35.8579656869134,1,7,16
"ind.74",1,5,0.220511656137576,0.183344678885604,0.101969967582783,37.4343801711848,6,2,51
"ind.84",1,5,0.220511656137576,0.183344678885604,0.101969967582783,46.2715639498618,2,0,17
"ind.94",1,5,0.220511656137576,0.183344678885604,0.101969967582783,31.5759040928273,2,6,23
"ind.104",1,5,0.220511656137576,0.183344678885604,0.101969967582783,33.4647342474032,3,4,29
"ind.117",1,5,0.220511656137576,0.183344678885604,0.101969967582783,45.3467815833854,0,1,2
"ind.124",1,5,0.220511656137576,0.183344678885604,0.101969967582783,45.3467815833854,0,1,2
"ind.134",1,5,0.220511656137576,0.183344678885604,0.101969967582783,46.3550974328041,3,0,25
"ind.144",1,5,0.220511656137576,0.183344678885604,0.101969967582783,46.3550974328041,3,0,25
"ind.154",1,5,0.220511656137576,0.183344678885604,0.101969967582783,0,6,7,56
"ind.164",1,5,0.220511656137576,0.183344678885604,0.101969967582783,50,7,0,57
"ind.174",1,5,0.220511656137576,0.183344678885604,0.101969967582783,45.3467815833854,0,1,2
"ind.184",1,5,0.220511656137576,0.183344678885604,0.101969967582783,42.3201528196782,1,5,14
"ind.194",1,5,0.220511656137576,0.183344678885604,0.101969967582783,45.5297881386979,4,0,33
"ind.204",1,5,0.220511656137576,0.183344678885604,0.101969967582783,46.7934321304944,1,3,12
"ind.214",1,5,0.220511656137576,0.183344678885604,0.101969967582783,46.7934321304944,1,3,12
"ind.224",1,5,0.220511656137576,0.183344678885604,0.101969967582783,46.2715639498618,2,0,17
"ind.234",1,5,0.220511656137576,0.183344678885604,0.101969967582783,47.1765532247976,0,5,6
"ind.244",1,5,0.220511656137576,0.183344678885604,0.101969967582783,50,7,0,57
"choice5",1,6,0.220511656137576,0.183344678885604,0.101969967582783,21.9725231513293,0,2,3
"ind5",1,6,0.220511656137576,0.183344678885604,0.101969967582783,28.6830884700709,0,0,1
"ind.118",1,6,0.220511656137576,0.183344678885604,0.101969967582783,41.7950174405642,2,5,22
"ind.29",1,6,0.220511656137576,0.183344678885604,0.101969967582783,18.2569494275643,5,4,45
"ind.35",1,6,0.220511656137576,0.183344678885604,0.101969967582783,32.6482350821882,1,4,13
"ind.45",1,6,0.220511656137576,0.183344678885604,0.101969967582783,25.6347812817763,6,6,55
"ind.55",1,6,0.220511656137576,0.183344678885604,0.101969967582783,40.628198955716,1,5,14
"ind.65",1,6,0.220511656137576,0.183344678885604,0.101969967582783,4.9786807230969,7,0,57
"ind.75",1,6,0.220511656137576,0.183344678885604,0.101969967582783,21.4313466304226,1,0,9
"ind.85",1,6,0.220511656137576,0.183344678885604,0.101969967582783,39.723785335254,0,6,7
"ind.95",1,6,0.220511656137576,0.183344678885604,0.101969967582783,4.04406208215838,4,0,33
"ind.105",1,6,0.220511656137576,0.183344678885604,0.101969967582783,0.282890848758699,5,1,42
"ind.119",1,6,0.220511656137576,0.183344678885604,0.101969967582783,16.2493357891768,7,6,63
"ind.125",1,6,0.220511656137576,0.183344678885604,0.101969967582783,39.5086643334115,0,7,8
"ind.135",1,6,0.220511656137576,0.183344678885604,0.101969967582783,20.36859772982,7,7,64
"ind.145",1,6,0.220511656137576,0.183344678885604,0.101969967582783,49.6996811888603,2,7,24
"ind.155",1,6,0.220511656137576,0.183344678885604,0.101969967582783,24.2266008352033,1,3,12
"ind.165",1,6,0.220511656137576,0.183344678885604,0.101969967582783,49.6996811888603,2,7,24
"ind.175",1,6,0.220511656137576,0.183344678885604,0.101969967582783,39.5086643334115,0,7,8
"ind.185",1,6,0.220511656137576,0.183344678885604,0.101969967582783,29.2017859141059,3,4,29
"ind.195",1,6,0.220511656137576,0.183344678885604,0.101969967582783,13.9856568225031,2,2,19
"ind.205",1,6,0.220511656137576,0.183344678885604,0.101969967582783,39.723785335254,0,6,7
"ind.215",1,6,0.220511656137576,0.183344678885604,0.101969967582783,49.6996811888603,2,7,24
"ind.225",1,6,0.220511656137576,0.183344678885604,0.101969967582783,7.90162416462639,3,0,25
"ind.235",1,6,0.220511656137576,0.183344678885604,0.101969967582783,27.3259285688801,5,5,46
"ind.245",1,6,0.220511656137576,0.183344678885604,0.101969967582783,39.723785335254,0,6,7
"choice6",1,7,0.220511656137576,0.183344678885604,0.101969967582783,11.3875126065088,0,5,6
"ind6",1,7,0.220511656137576,0.183344678885604,0.101969967582783,42.624942344305,6,7,56
"ind.120",1,7,0.220511656137576,0.183344678885604,0.101969967582783,24.7363046035925,7,5,62
