"","id","round","lambda","beta","tau","mu","x1","x2","choices"
"choice",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.1",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.2",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.3",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.4",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.5",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.6",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.7",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.8",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.9",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.10",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.11",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.12",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.13",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.14",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.15",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.16",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.17",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.18",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.19",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.20",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.21",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
"ind.22",1,1,0.220511656137576,0.1182373878221,0.0209011995508387,44.1664010213306,6,0,49
