"","id","round","lambda","beta","tau","mu","x1","x2","choices"
"choice",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,14.4811108376925,5,2,43
"ind",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,40.7686542440137,0,5,6
"ind.1",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,8.27668952474616,6,1,50
"ind.2",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,34.7209029624552,1,0,9
"ind.3",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,36.9168264156741,1,5,14
"ind.4",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,33.4501826054838,2,6,23
"ind.5",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,26.6099459329623,3,6,31
"ind.6",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,33.4501826054838,2,6,23
"ind.7",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,20.3658708016604,4,1,34
"ind.8",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,27.8275718426894,7,7,64
"ind.9",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,40.7686542440137,0,5,6
"ind.10",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,33.637766927698,1,2,11
"ind.11",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,34.7209029624552,1,0,9
"ind.12",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,21.1493013200788,4,5,38
"ind.13",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,32.7785573935076,2,5,22
"ind.14",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,13.1647306019153,5,0,41
"ind.15",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,16.6896533899422,6,6,55
"ind.16",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,24.7353457043646,7,6,63
"ind.17",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,40.7686542440137,0,5,6
"ind.18",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,18.6183602263775,7,5,62
"ind.19",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,3.36657134190756,7,2,59
"ind.20",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,33.4501826054838,2,6,23
"ind.21",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,33.4501826054838,2,6,23
"ind.22",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,41.5674002754876,1,7,16
"ind.23",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,40.7686542440137,0,5,6
"ind.24",1,1,0.220511656137576,0.0491731306548496,0.101969967582783,8.62453613839419,6,2,51
"choice1",1,2,0.220511656137576,0.0491731306548496,0.101969967582783,38.8593472711374,6,3,52
"ind1",1,2,0.220511656137576,0.0491731306548496,0.101969967582783,38.8593472711374,6,3,52
"ind.110",1,2,0.220511656137576,0.0491731306548496,0.101969967582783,42.8590771809461,6,0,49
"ind.25",1,2,0.220511656137576,0.0491731306548496,0.101969967582783,17.8592533258208,3,7,32
"ind.31",1,2,0.220511656137576,0.0491731306548496,0.101969967582783,4.24013945328411,0,4,5
"ind.41",1,2,0.220511656137576,0.0491731306548496,0.101969967582783,33.5232931779639,2,0,17
"ind.51",1,2,0.220511656137576,0.0491731306548496,0.101969967582783,47.9785008969988,7,0,57
"ind.61",1,2,0.220511656137576,0.0491731306548496,0.101969967582783,42.8590771809461,6,0,49
"ind.71",1,2,0.220511656137576,0.0491731306548496,0.101969967582783,20.4825839951805,2,3,20
"ind.81",1,2,0.220511656137576,0.0491731306548496,0.101969967582783,50,7,1,58
"ind.91",1,2,0.220511656137576,0.0491731306548496,0.101969967582783,26.1657925467393,5,7,48
"ind.101",1,2,0.220511656137576,0.0491731306548496,0.101969967582783,42.8590771809461,6,0,49
"ind.111",1,2,0.220511656137576,0.0491731306548496,0.101969967582783,50,7,1,58
"ind.121",1,2,0.220511656137576,0.0491731306548496,0.101969967582783,25.7809981157827,2,2,19
