"participant","X","environment","ageGroup","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","roundnLL","age_years","age_months","id"
15,1681,"Smooth","Younger",2,357.002986940336,0.141589268597718,"RBF","UCB",NA,0.387052358886254,0.541379237713109,0.0067379469999112,97.7425500189544,6,78,324
15,1682,"Smooth","Younger",3,357.002986940336,0.141589268597718,"RBF","UCB",NA,0.379665082391104,0.54040053245175,0.00673794972291545,87.233280418262,6,78,324
15,1683,"Smooth","Younger",4,357.002986940336,0.141589268597718,"RBF","UCB",NA,0.35945329059015,0.548738198552285,0.00673794941168598,73.5578878094697,6,78,324
15,1684,"Smooth","Younger",5,357.002986940336,0.141589268597718,"RBF","UCB",NA,0.38135526635371,0.551294483037367,0.00673812535490178,98.4692686936494,6,78,324
17,1690,"Smooth","Younger",3,227.011824974304,0.454151943144032,"RBF","UCB",NA,0.431050372162026,0.540773167806386,0.00673802839914376,53.0916794687934,6,80,326
17,1689,"Smooth","Younger",2,227.011824974304,0.454151943144032,"RBF","UCB",NA,0.42886506163351,0.518722700215666,0.00673808424401494,37.1574563552886,6,80,326
17,1691,"Smooth","Younger",4,227.011824974304,0.454151943144032,"RBF","UCB",NA,0.429140949216766,0.54310478584155,0.00673794865182119,58.8000796511557,6,80,326
17,1692,"Smooth","Younger",5,227.011824974304,0.454151943144032,"RBF","UCB",NA,0.443578477975451,0.537900432605102,0.00673795302631523,77.9626094990658,6,80,326
19,1700,"Smooth","Younger",5,403.955835086367,0.028691533304563,"RBF","UCB",NA,0.121554409995309,24.0852321544573,0.00896684524263745,98.0411177847677,6,82,328
19,1699,"Smooth","Younger",4,403.955835086367,0.028691533304563,"RBF","UCB",NA,0.12394952040074,34.6852780878031,0.00675617031022237,98.0411177847637,6,82,328
19,1697,"Smooth","Younger",2,403.955835086367,0.028691533304563,"RBF","UCB",NA,0.338634960850093,0.533051846829352,0.00673794943615754,105.795695762992,6,82,328
19,1698,"Smooth","Younger",3,403.955835086367,0.028691533304563,"RBF","UCB",NA,0.332091193062072,0.535521198991793,0.00673794738398106,102.077903753844,6,82,328
23,1713,"Smooth","Younger",2,419.182431996053,-0.00792069311413468,"RBF","UCB",NA,0.317902907336736,49.9905175721483,49.349301640775,102.85234924521,6,79,332
23,1714,"Smooth","Younger",3,419.182431996053,-0.00792069311413468,"RBF","UCB",NA,54.5963392522864,0.00723129607089946,0.431416040513336,105.251906654555,6,79,332
23,1715,"Smooth","Younger",4,419.182431996053,-0.00792069311413468,"RBF","UCB",NA,0.293843170209035,49.8775929249226,27.0694482173919,109.496139803083,6,79,332
23,1716,"Smooth","Younger",5,419.182431996053,-0.00792069311413468,"RBF","UCB",NA,0.345815753237774,4.24247036935703,6.67247976148363,101.582036293205,6,79,332
41,1781,"Smooth","Younger",2,440.350521412319,-0.0588191891573699,"RBF","UCB",NA,1.15887304759648,0.00673800428085069,0.141568014100725,110.707409049076,5,69,349
41,1782,"Smooth","Younger",3,440.350521412319,-0.0588191891573699,"RBF","UCB",NA,1.10027929303835,0.00673794882287972,0.211695153915232,103.967026721797,5,69,349
41,1783,"Smooth","Younger",4,440.350521412319,-0.0588191891573699,"RBF","UCB",NA,0.0858789634397051,0.957545293643507,0.702845428124055,103.067432516743,5,69,349
