"id","nLL","kernel","acq","R2","kError","lambda","beta","tau","epsilon","age_years","experiment","age_months","condition","agegroup"
49,784.328942278142,"BMT","UCB",0.0570437704580324,0.177513766184695,NA,8.81472482262496,0.116741165920465,NA,10,"Adolescent",120,"Smooth","[9,11)"
50,566.413967736491,"BMT","UCB",0.319031148046936,0.123008148270264,NA,0.0339152281375511,0.0658203706840027,NA,10,"Adolescent",120,"Smooth","[9,11)"
51,784.328942278142,"BMT","UCB",0.0570437704580324,1.66616685096825,NA,15.7045055796341,0.0889077964773791,NA,16,"Adolescent",192,"Smooth","[14,18)"
52,784.328942278142,"BMT","UCB",0.0570437704580324,0.151706581827469,NA,9.60200329426547,0.0758378766957202,NA,17,"Adolescent",204,"Smooth","[14,18)"
53,747.594507891638,"BMT","UCB",0.101207592390757,6.44647757454889,NA,0.321393252259196,0.00716026327776662,NA,14,"Adolescent",168,"Smooth","[14,18)"
54,827.957279693564,"BMT","UCB",0.00459178209848266,15.2577102728854,NA,0.0995506864909364,0.00736188192152863,NA,17,"Adolescent",204,"Smooth","[14,18)"
55,779.289808231437,"BMT","UCB",0.0631020485409954,6.10022998968968,NA,0.307098921535173,0.012121737630681,NA,13,"Adolescent",156,"Smooth","[11,14)"
56,660.682138488266,"BMT","UCB",0.205697629332552,3.08803327340352,NA,0.192534412663194,0.0327946693161201,NA,16,"Adolescent",192,"Smooth","[14,18)"
57,782.847542105426,"BMT","UCB",0.0588247776936561,1.88067292865446,NA,0.239286858077326,0.0409443278727174,NA,13,"Adolescent",156,"Smooth","[11,14)"
58,798.764483704327,"BMT","UCB",0.0396887004346115,0.0124839838783109,NA,24.3823162217036,16.9844528537801,NA,17,"Adolescent",204,"Smooth","[14,18)"
59,132.377415903782,"BMT","UCB",0.840849798791599,6.69318444612521,NA,0.115155967587479,0.00673807081134646,NA,13,"Adolescent",156,"Smooth","[11,14)"
60,476.523579417577,"BMT","UCB",0.427101495923002,8.01926181805914,NA,0.263204332133994,0.00673797252589187,NA,13,"Adolescent",156,"Smooth","[11,14)"
61,420.3931424277,"BMT","UCB",0.494584081829858,3.60077806059222,NA,0.0450307622431,0.0384536390072802,NA,16,"Adolescent",192,"Smooth","[14,18)"
62,821.276538043756,"BMT","UCB",0.0126236761381809,0.17966659953365,NA,0.219006934693011,0.125881306959743,NA,13,"Adolescent",156,"Smooth","[11,14)"
63,345.186617172998,"BMT","UCB",0.585000816019398,2.3349156041859,NA,0.0816337835174939,0.0394737179493321,NA,17,"Adolescent",204,"Smooth","[14,18)"
64,763.693265725906,"BMT","UCB",0.0818529273141146,7.86084719800219,NA,0.317869844491034,0.00674056586518842,NA,14,"Adolescent",168,"Smooth","[14,18)"
65,371.009820419461,"BMT","UCB",0.553954976633115,6.21806897414729,NA,0.22502613770566,0.0115611786708142,NA,17,"Adolescent",204,"Smooth","[14,18)"
66,795.278260986244,"BMT","UCB",0.0438799972902887,0.68851068688392,NA,0.414905890977818,0.0750583288496354,NA,15,"Adolescent",180,"Smooth","[14,18)"
67,764.402700231146,"BMT","UCB",0.0810000126119935,2.04150292965164,NA,0.257378950744337,0.0170887375495526,NA,15,"Adolescent",180,"Smooth","[14,18)"
68,415.795903427767,"BMT","UCB",0.500111093419011,6.69875504888233,NA,0.288532287543214,0.00673818024467508,NA,17,"Adolescent",204,"Smooth","[14,18)"
69,812.942905358183,"BMT","UCB",0.0226427515949034,0.259738252723171,NA,0.236227720054783,0.0463352040799057,NA,14,"Adolescent",168,"Smooth","[14,18)"
70,809.901149850539,"BMT","UCB",0.0262996895836317,3.87730400467035,NA,14.1345808246842,1.63329539427451,NA,14,"Adolescent",168,"Smooth","[14,18)"
71,640.003560970723,"BMT","UCB",0.230558363696884,8.41765004709564,NA,0.282206301270064,0.00859533006286043,NA,15,"Adolescent",180,"Smooth","[14,18)"
